Video,Predicted,Real,Fake,Total,Label,Accuracy (%),Real (%),Fake (%)
01_04__outside_talking_still_laughing__0XUW13RW.mp4,0,31,0,31,0,100,100,0
01_04__podium_speech_happy__0XUW13RW.mp4,0,31,0,31,0,100,100,0
01_04__podium_speech_happy__6I623VU9.mp4,0,31,0,31,0,100,100,0
01_04__podium_speech_happy__GBC7ZGDP.mp4,0,31,0,31,0,100,100,0
01_04__talking_angry_couch__0XUW13RW.mp4,1,0,31,31,0,0,0,100
01_04__walking_and_outside_surprised__GBC7ZGDP.mp4,1,0,31,31,0,0,0,100
01_04__walking_down_street_outside_angry__0XUW13RW.mp4,1,0,31,31,0,0,0,100
01_04__walking_down_street_outside_angry__GBC7ZGDP.mp4,1,0,31,31,0,0,0,100
01_04__walking_outside_cafe_disgusted__0XUW13RW.mp4,1,0,31,31,0,0,0,100
01_04__walk_down_hall_angry__0XUW13RW.mp4,0,31,0,31,0,100,100,0
01_04__walk_down_hall_angry__GBC7ZGDP.mp4,0,31,0,31,0,100,100,0
01_09__exit_phone_room__6TSGVLHA.mp4,0,19,12,31,0,100,61.29032258,38.70967742
01_09__hugging_happy__SJZRV69J.mp4,1,13,18,31,0,0,41.93548387,58.06451613
01_09__kitchen_pan__6TSGVLHA.mp4,1,1,30,31,0,0,3.225806452,96.77419355
01_09__secret_conversation__SJZRV69J.mp4,1,5,8,13,0,0,38.46153846,61.53846154
01_09__talking_angry_couch__O8HNNX43.mp4,1,0,31,31,0,0,0,100
01_09__talking_angry_couch__P70H1JB0.mp4,1,0,31,31,0,0,0,100
01_09__walk_down_hall_angry__P70H1JB0.mp4,0,31,0,31,0,100,100,0
01_11__exit_phone_room__4OJNJLOO.mp4,0,20,11,31,0,100,64.51612903,35.48387097
01_11__exit_phone_room__9229VVZ3.mp4,0,21,10,31,0,100,67.74193548,32.25806452
01_11__hugging_happy__4OJNJLOO.mp4,0,16,15,31,0,100,51.61290323,48.38709677
01_11__hugging_happy__5OVT6C66.mp4,1,15,16,31,0,0,48.38709677,51.61290323
01_11__hugging_happy__EKE2KNRE.mp4,0,17,14,31,0,100,54.83870968,45.16129032
01_11__hugging_happy__P06JKA75.mp4,1,14,17,31,0,0,45.16129032,54.83870968
01_11__kitchen_pan__WIZ7GKOD.mp4,1,1,30,31,0,0,3.225806452,96.77419355
01_11__kitchen_still__5OVT6C66.mp4,0,24,7,31,0,100,77.41935484,22.58064516
01_11__meeting_serious__18HYCC8C.mp4,1,0,31,31,0,0,0,100
01_11__meeting_serious__9OM3VE0Y.mp4,1,0,31,31,0,0,0,100
01_11__meeting_serious__FAFWDR4W.mp4,1,0,31,31,0,0,0,100
01_11__meeting_serious__FCNL2OVP.mp4,1,0,31,31,0,0,0,100
01_11__meeting_serious__WIZ7GKOD.mp4,1,0,31,31,0,0,0,100
01_11__outside_talking_pan_laughing__9OM3VE0Y.mp4,0,25,6,31,0,100,80.64516129,19.35483871
01_11__outside_talking_pan_laughing__LL4RUKZA.mp4,0,28,3,31,0,100,90.32258065,9.677419355
01_11__outside_talking_pan_laughing__UQ0BOBNO.mp4,0,26,5,31,0,100,83.87096774,16.12903226
01_11__outside_talking_pan_laughing__WIZ7GKOD.mp4,0,25,6,31,0,100,80.64516129,19.35483871
01_11__outside_talking_still_laughing__4OJNJLOO.mp4,0,30,1,31,0,100,96.77419355,3.225806452
01_11__outside_talking_still_laughing__9229VVZ3.mp4,0,31,0,31,0,100,100,0
01_11__podium_speech_happy__WIZ7GKOD.mp4,0,31,0,31,0,100,100,0
01_11__secret_conversation__4OJNJLOO.mp4,1,0,31,31,0,0,0,100
01_11__secret_conversation__WIZ7GKOD.mp4,1,3,9,12,0,0,25,75
01_11__talking_against_wall__4OJNJLOO.mp4,1,0,31,31,0,0,0,100
01_11__talking_against_wall__9229VVZ3.mp4,1,0,31,31,0,0,0,100
01_11__talking_against_wall__P06JKA75.mp4,1,0,31,31,0,0,0,100
01_11__talking_against_wall__UQ0BOBNO.mp4,1,0,31,31,0,0,0,100
01_11__talking_against_wall__WIZ7GKOD.mp4,1,0,31,31,0,0,0,100
01_11__talking_angry_couch__FAFWDR4W.mp4,1,0,31,31,0,0,0,100
01_11__walking_and_outside_surprised__18HYCC8C.mp4,1,0,31,31,0,0,0,100
01_11__walking_outside_cafe_disgusted__FAFWDR4W.mp4,1,0,31,31,0,0,0,100
01_12__kitchen_pan__TNI7KUZ6.mp4,1,3,28,31,0,0,9.677419355,90.32258065
01_12__outside_talking_pan_laughing__TNI7KUZ6.mp4,0,29,2,31,0,100,93.5483871,6.451612903
01_12__outside_talking_still_laughing__TNI7KUZ6.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_14__hugging_happy__0S0NS5C6.mp4,0,17,14,31,0,100,54.83870968,45.16129032
01_14__kitchen_still__01YF7VQM.mp4,0,20,11,31,0,100,64.51612903,35.48387097
01_14__outside_talking_still_laughing__01YF7VQM.mp4,0,29,2,31,0,100,93.5483871,6.451612903
01_14__walking_and_outside_surprised__01YF7VQM.mp4,1,0,31,31,0,0,0,100
01_14__walking_outside_cafe_disgusted__01YF7VQM.mp4,1,8,23,31,0,0,25.80645161,74.19354839
01_15__exit_phone_room__02HILKYO.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_15__hugging_happy__02HILKYO.mp4,0,16,15,31,0,100,51.61290323,48.38709677
01_15__kitchen_pan__02HILKYO.mp4,1,1,30,31,0,0,3.225806452,96.77419355
01_15__kitchen_still__02HILKYO.mp4,0,20,11,31,0,100,64.51612903,35.48387097
01_15__meeting_serious__02HILKYO.mp4,1,0,31,31,0,0,0,100
01_15__outside_talking_pan_laughing__02HILKYO.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_15__outside_talking_still_laughing__02HILKYO.mp4,0,29,2,31,0,100,93.5483871,6.451612903
01_15__podium_speech_happy__02HILKYO.mp4,0,31,0,31,0,100,100,0
01_15__walking_and_outside_surprised__02HILKYO.mp4,1,0,31,31,0,0,0,100
01_15__walking_down_street_outside_angry__02HILKYO.mp4,1,0,31,31,0,0,0,100
01_15__walk_down_hall_angry__02HILKYO.mp4,0,31,0,31,0,100,100,0
01_20__hugging_happy__6UBMLXK3.mp4,1,15,16,31,0,0,48.38709677,51.61290323
01_20__hugging_happy__FW94AIMJ.mp4,1,14,17,31,0,0,45.16129032,54.83870968
01_20__kitchen_pan__6UBMLXK3.mp4,1,2,29,31,0,0,6.451612903,93.5483871
01_20__kitchen_still__D8GWGO2A.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_20__kitchen_still__FW94AIMJ.mp4,1,8,23,31,0,0,25.80645161,74.19354839
01_20__meeting_serious__6UBMLXK3.mp4,1,0,31,31,0,0,0,100
01_20__meeting_serious__D8GWGO2A.mp4,1,0,31,31,0,0,0,100
01_20__meeting_serious__FW94AIMJ.mp4,1,0,31,31,0,0,0,100
01_20__outside_talking_pan_laughing__6UBMLXK3.mp4,0,30,1,31,0,100,96.77419355,3.225806452
01_20__outside_talking_pan_laughing__OTGHOG4Z.mp4,0,25,6,31,0,100,80.64516129,19.35483871
01_20__outside_talking_still_laughing__6UBMLXK3.mp4,0,31,0,31,0,100,100,0
01_20__outside_talking_still_laughing__FW94AIMJ.mp4,0,29,2,31,0,100,93.5483871,6.451612903
01_20__outside_talking_still_laughing__OTGHOG4Z.mp4,0,29,2,31,0,100,93.5483871,6.451612903
01_20__secret_conversation__6UBMLXK3.mp4,1,0,31,31,0,0,0,100
01_20__secret_conversation__FW94AIMJ.mp4,1,2,11,13,0,0,15.38461538,84.61538462
01_20__talking_angry_couch__6UBMLXK3.mp4,1,0,31,31,0,0,0,100
01_20__talking_angry_couch__FW94AIMJ.mp4,1,0,31,31,0,0,0,100
01_20__walking_and_outside_surprised__6UBMLXK3.mp4,1,0,31,31,0,0,0,100
01_20__walking_and_outside_surprised__OTGHOG4Z.mp4,1,0,31,31,0,0,0,100
01_20__walk_down_hall_angry__FW94AIMJ.mp4,0,31,0,31,0,100,100,0
01_21__kitchen_pan__03X7CELV.mp4,1,0,31,31,0,0,0,100
01_21__outside_talking_pan_laughing__03X7CELV.mp4,0,18,13,31,0,100,58.06451613,41.93548387
01_21__secret_conversation__03X7CELV.mp4,1,0,31,31,0,0,0,100
01_21__talking_angry_couch__03X7CELV.mp4,1,0,31,31,0,0,0,100
01_21__walk_down_hall_angry__03X7CELV.mp4,0,31,0,31,0,100,100,0
01_26__exit_phone_room__BTVMWLG6.mp4,0,22,9,31,0,100,70.96774194,29.03225806
01_26__meeting_serious__ZMEJ535O.mp4,1,0,31,31,0,0,0,100
01_26__outside_talking_pan_laughing__ZMEJ535O.mp4,0,27,4,31,0,100,87.09677419,12.90322581
01_26__walking_outside_cafe_disgusted__BTVMWLG6.mp4,1,9,22,31,0,0,29.03225806,70.96774194
01_27__hugging_happy__ZYCZ30C0.mp4,0,16,15,31,0,100,51.61290323,48.38709677
01_27__meeting_serious__ZYCZ30C0.mp4,1,0,31,31,0,0,0,100
01_27__outside_talking_pan_laughing__S2YCUY48.mp4,0,21,10,31,0,100,67.74193548,32.25806452
01_27__outside_talking_still_laughing__S2YCUY48.mp4,0,30,1,31,0,100,96.77419355,3.225806452
01_27__outside_talking_still_laughing__ZYCZ30C0.mp4,0,31,0,31,0,100,100,0
01_27__talking_against_wall__ZYCZ30C0.mp4,1,0,31,31,0,0,0,100
01_27__talking_angry_couch__ZYCZ30C0.mp4,1,0,31,31,0,0,0,100
01_27__walking_outside_cafe_disgusted__ZYCZ30C0.mp4,1,4,27,31,0,0,12.90322581,87.09677419
02_01__exit_phone_room__YVGY8LOK.mp4,0,22,9,31,0,100,70.96774194,29.03225806
02_01__hugging_happy__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__meeting_serious__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__outside_talking_still_laughing__YVGY8LOK.mp4,0,21,10,31,0,100,67.74193548,32.25806452
02_01__secret_conversation__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__talking_against_wall__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__talking_angry_couch__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__walking_and_outside_surprised__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__walking_down_indoor_hall_disgust__YVGY8LOK.mp4,1,0,31,31,0,0,0,100
02_01__walking_outside_cafe_disgusted__YVGY8LOK.mp4,0,16,15,31,0,100,51.61290323,48.38709677
02_01__walk_down_hall_angry__YVGY8LOK.mp4,0,31,0,31,0,100,100,0
02_03__kitchen_still__ZESUJMM7.mp4,1,0,31,31,0,0,0,100
02_03__podium_speech_happy__QH3Y0IG0.mp4,1,9,22,31,0,0,29.03225806,70.96774194
02_03__walking_and_outside_surprised__GYX5OFTD.mp4,1,0,31,31,0,0,0,100
02_03__walking_down_street_outside_angry__QH3Y0IG0.mp4,1,0,31,31,0,0,0,100
02_03__walking_outside_cafe_disgusted__GYX5OFTD.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_03__walking_outside_cafe_disgusted__QH3Y0IG0.mp4,0,16,15,31,0,100,51.61290323,48.38709677
02_04__exit_phone_room__SUIZOXAJ.mp4,0,23,8,31,0,100,74.19354839,25.80645161
02_04__hugging_happy__SUIZOXAJ.mp4,1,0,31,31,0,0,0,100
02_04__outside_talking_pan_laughing__8CH7R4LW.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_04__outside_talking_still_laughing__8CH7R4LW.mp4,0,21,10,31,0,100,67.74193548,32.25806452
02_04__podium_speech_happy__8CH7R4LW.mp4,0,17,14,31,0,100,54.83870968,45.16129032
02_04__secret_conversation__8CH7R4LW.mp4,1,0,31,31,0,0,0,100
02_04__walking_and_outside_surprised__SUIZOXAJ.mp4,1,0,31,31,0,0,0,100
02_04__walk_down_hall_angry__8CH7R4LW.mp4,0,31,0,31,0,100,100,0
02_04__walk_down_hall_angry__SUIZOXAJ.mp4,0,31,0,31,0,100,100,0
02_06__exit_phone_room__3J3BHSHI.mp4,0,22,9,31,0,100,70.96774194,29.03225806
02_06__exit_phone_room__HZAXM70B.mp4,0,16,15,31,0,100,51.61290323,48.38709677
02_06__kitchen_pan__0M6JNS5D.mp4,1,0,31,31,0,0,0,100
02_06__kitchen_pan__3J3BHSHI.mp4,1,0,31,31,0,0,0,100
02_06__kitchen_pan__O9WOC1KJ.mp4,1,0,31,31,0,0,0,100
02_06__kitchen_still__HZAXM70B.mp4,1,0,31,31,0,0,0,100
02_06__meeting_serious__0M6JNS5D.mp4,1,0,31,31,0,0,0,100
02_06__outside_talking_pan_laughing__N8OSN8P6.mp4,1,0,31,31,0,0,0,100
02_06__podium_speech_happy__N8OSN8P6.mp4,1,9,22,31,0,0,29.03225806,70.96774194
02_06__podium_speech_happy__SU4OQCS9.mp4,1,8,23,31,0,0,25.80645161,74.19354839
02_06__secret_conversation__O9WOC1KJ.mp4,1,0,31,31,0,0,0,100
02_06__talking_angry_couch__GH8TGTBS.mp4,1,0,31,31,0,0,0,100
02_06__talking_angry_couch__J1W9R0NG.mp4,1,0,31,31,0,0,0,100
02_06__talking_angry_couch__MKZTXQ2T.mp4,1,0,31,31,0,0,0,100
02_06__walking_and_outside_surprised__N8OSN8P6.mp4,1,0,31,31,0,0,0,100
02_06__walking_and_outside_surprised__O9WOC1KJ.mp4,1,0,31,31,0,0,0,100
02_06__walking_down_indoor_hall_disgust__GH8TGTBS.mp4,1,0,31,31,0,0,0,100
02_06__walking_down_indoor_hall_disgust__HZAXM70B.mp4,1,0,31,31,0,0,0,100
02_06__walking_down_indoor_hall_disgust__SU4OQCS9.mp4,1,0,31,31,0,0,0,100
02_06__walking_down_indoor_hall_disgust__U6MDWIHG.mp4,1,0,31,31,0,0,0,100
02_06__walking_down_street_outside_angry__MKZTXQ2T.mp4,1,0,31,31,0,0,0,100
02_06__walking_outside_cafe_disgusted__37DH75GQ.mp4,0,31,0,31,0,100,100,0
02_06__walking_outside_cafe_disgusted__GH8TGTBS.mp4,0,21,10,31,0,100,67.74193548,32.25806452
02_06__walk_down_hall_angry__0M6JNS5D.mp4,0,31,0,31,0,100,100,0
02_06__walk_down_hall_angry__MKZTXQ2T.mp4,0,31,0,31,0,100,100,0
02_07__exit_phone_room__1JCLEEBQ.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_07__exit_phone_room__9NVRE2KQ.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_07__hugging_happy__1JCLEEBQ.mp4,1,0,31,31,0,0,0,100
02_07__hugging_happy__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__kitchen_pan__34PVT42V.mp4,1,0,31,31,0,0,0,100
02_07__kitchen_pan__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__kitchen_still__1ZE4HC06.mp4,1,0,31,31,0,0,0,100
02_07__kitchen_still__TBLYQBIY.mp4,1,0,31,31,0,0,0,100
02_07__meeting_serious__1H07DFQJ.mp4,1,0,31,31,0,0,0,100
02_07__meeting_serious__1JCLEEBQ.mp4,1,0,31,31,0,0,0,100
02_07__meeting_serious__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__outside_talking_pan_laughing__34PVT42V.mp4,1,0,31,31,0,0,0,100
02_07__outside_talking_pan_laughing__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__podium_speech_happy__0IYV5DQ5.mp4,1,7,24,31,0,0,22.58064516,77.41935484
02_07__podium_speech_happy__1KPVZAAP.mp4,1,8,23,31,0,0,25.80645161,74.19354839
02_07__podium_speech_happy__UH60ROEK.mp4,1,8,23,31,0,0,25.80645161,74.19354839
02_07__secret_conversation__0IYV5DQ5.mp4,1,0,31,31,0,0,0,100
02_07__secret_conversation__1JCLEEBQ.mp4,1,0,31,31,0,0,0,100
02_07__secret_conversation__1VMZUH1W.mp4,1,0,31,31,0,0,0,100
02_07__talking_against_wall__1ZE4HC06.mp4,1,0,31,31,0,0,0,100
02_07__talking_against_wall__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__talking_angry_couch__1VMZUH1W.mp4,1,0,31,31,0,0,0,100
02_07__walking_and_outside_surprised__1VMZUH1W.mp4,1,0,31,31,0,0,0,100
02_07__walking_and_outside_surprised__UH60ROEK.mp4,1,0,31,31,0,0,0,100
02_07__walking_down_street_outside_angry__O4SXNLRL.mp4,1,0,31,31,0,0,0,100
02_07__walking_outside_cafe_disgusted__1H07DFQJ.mp4,0,16,15,31,0,100,51.61290323,48.38709677
02_07__walk_down_hall_angry__1JCLEEBQ.mp4,0,31,0,31,0,100,100,0
02_07__walk_down_hall_angry__O4SXNLRL.mp4,0,31,0,31,0,100,100,0
02_07__walk_down_hall_angry__U7DEOZNV.mp4,0,31,0,31,0,100,100,0
02_09__exit_phone_room__6KUOFMZW.mp4,0,21,10,31,0,100,67.74193548,32.25806452
02_09__exit_phone_room__HIH8YA82.mp4,0,16,15,31,0,100,51.61290323,48.38709677
02_09__hugging_happy__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
02_09__hugging_happy__HIH8YA82.mp4,1,0,31,31,0,0,0,100
02_09__kitchen_pan__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__kitchen_pan__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
02_09__kitchen_pan__HIH8YA82.mp4,1,0,31,31,0,0,0,100
02_09__kitchen_still__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__meeting_serious__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__meeting_serious__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
02_09__outside_talking_pan_laughing__6KUOFMZW.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_09__outside_talking_pan_laughing__HIH8YA82.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_09__outside_talking_still_laughing__9TDCEK1Q.mp4,0,19,12,31,0,100,61.29032258,38.70967742
02_09__podium_speech_happy__9TDCEK1Q.mp4,1,9,22,31,0,0,29.03225806,70.96774194
02_09__podium_speech_happy__HIH8YA82.mp4,1,14,17,31,0,0,45.16129032,54.83870968
02_09__secret_conversation__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__talking_angry_couch__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__walking_down_street_outside_angry__6KUOFMZW.mp4,1,0,31,31,0,0,0,100
02_09__walking_down_street_outside_angry__9TDCEK1Q.mp4,1,0,31,31,0,0,0,100
02_09__walking_down_street_outside_angry__HIH8YA82.mp4,1,0,31,31,0,0,0,100
02_09__walk_down_hall_angry__6KUOFMZW.mp4,0,31,0,31,0,100,100,0
02_09__walk_down_hall_angry__9TDCEK1Q.mp4,0,31,0,31,0,100,100,0
02_11__meeting_serious__NZJ1YEWE.mp4,1,0,31,31,0,0,0,100
02_12__hugging_happy__9D2ZHEKW.mp4,1,0,31,31,0,0,0,100
02_12__outside_talking_pan_laughing__9D2ZHEKW.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_12__podium_speech_happy__9D2ZHEKW.mp4,1,8,23,31,0,0,25.80645161,74.19354839
02_12__walking_and_outside_surprised__9D2ZHEKW.mp4,1,0,31,31,0,0,0,100
02_13__exit_phone_room__CP5HFV3K.mp4,0,17,14,31,0,100,54.83870968,45.16129032
02_13__exit_phone_room__PLNVLO74.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_13__hugging_happy__PLNVLO74.mp4,1,0,31,31,0,0,0,100
02_13__kitchen_pan__0RKOCC6A.mp4,1,0,31,31,0,0,0,100
02_13__kitchen_pan__2YSYT2N3.mp4,1,0,31,31,0,0,0,100
02_13__kitchen_pan__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__kitchen_still__2YSYT2N3.mp4,1,0,31,31,0,0,0,100
02_13__meeting_serious__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__outside_talking_pan_laughing__0RKOCC6A.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_13__outside_talking_pan_laughing__2YSYT2N3.mp4,1,2,29,31,0,0,6.451612903,93.5483871
02_13__outside_talking_still_laughing__2YSYT2N3.mp4,0,20,11,31,0,100,64.51612903,35.48387097
02_13__outside_talking_still_laughing__CP5HFV3K.mp4,0,19,12,31,0,100,61.29032258,38.70967742
02_13__podium_speech_happy__2YSYT2N3.mp4,1,10,21,31,0,0,32.25806452,67.74193548
02_13__secret_conversation__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__secret_conversation__PLNVLO74.mp4,1,0,31,31,0,0,0,100
02_13__talking_angry_couch__AROBAY8R.mp4,1,0,31,31,0,0,0,100
02_13__talking_angry_couch__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__walking_and_outside_surprised__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__walking_down_indoor_hall_disgust__CP5HFV3K.mp4,1,0,31,31,0,0,0,100
02_13__walking_down_street_outside_angry__2YSYT2N3.mp4,1,0,31,31,0,0,0,100
02_13__walking_outside_cafe_disgusted__AROBAY8R.mp4,0,31,0,31,0,100,100,0
02_13__walking_outside_cafe_disgusted__CP5HFV3K.mp4,0,21,10,31,0,100,67.74193548,32.25806452
02_14__exit_phone_room__3IUBEKCT.mp4,1,14,17,31,0,0,45.16129032,54.83870968
02_14__kitchen_pan__3IUBEKCT.mp4,1,0,31,31,0,0,0,100
02_14__meeting_serious__3IUBEKCT.mp4,1,0,31,31,0,0,0,100
02_14__outside_talking_pan_laughing__3IUBEKCT.mp4,1,1,30,31,0,0,3.225806452,96.77419355
02_14__podium_speech_happy__3IUBEKCT.mp4,1,9,22,31,0,0,29.03225806,70.96774194
02_14__secret_conversation__3IUBEKCT.mp4,1,0,31,31,0,0,0,100
02_14__walking_and_outside_surprised__3IUBEKCT.mp4,1,0,31,31,0,0,0,100
02_14__walking_outside_cafe_disgusted__3IUBEKCT.mp4,0,20,11,31,0,100,64.51612903,35.48387097
02_15__exit_phone_room__HTG660F8.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_15__exit_phone_room__I8G2LWD1.mp4,1,15,16,31,0,0,48.38709677,51.61290323
02_15__exit_phone_room__MCRFMYAE.mp4,1,14,17,31,0,0,45.16129032,54.83870968
02_15__exit_phone_room__MZWH8ATN.mp4,1,14,17,31,0,0,45.16129032,54.83870968
02_15__hugging_happy__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__hugging_happy__MZWH8ATN.mp4,1,0,31,31,0,0,0,100
02_15__hugging_happy__XNJIS4S3.mp4,1,0,31,31,0,0,0,100
02_15__kitchen_pan__SB6PMCO0.mp4,1,0,31,31,0,0,0,100
02_15__kitchen_still__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__kitchen_still__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
02_15__kitchen_still__XNJIS4S3.mp4,1,0,31,31,0,0,0,100
02_15__meeting_serious__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__meeting_serious__MZWH8ATN.mp4,1,0,31,31,0,0,0,100
02_15__meeting_serious__N864L40U.mp4,1,0,31,31,0,0,0,100
02_15__meeting_serious__TSRK8QS4.mp4,1,0,31,31,0,0,0,100
02_15__outside_talking_pan_laughing__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
02_15__outside_talking_pan_laughing__SB6PMCO0.mp4,1,0,31,31,0,0,0,100
02_15__outside_talking_pan_laughing__TN2CWM3K.mp4,1,0,31,31,0,0,0,100
02_15__outside_talking_still_laughing__HTG660F8.mp4,0,27,4,31,0,100,87.09677419,12.90322581
02_15__outside_talking_still_laughing__SB6PMCO0.mp4,0,20,11,31,0,100,64.51612903,35.48387097
02_15__podium_speech_happy__I8G2LWD1.mp4,1,7,24,31,0,0,22.58064516,77.41935484
02_15__podium_speech_happy__MZWH8ATN.mp4,1,6,25,31,0,0,19.35483871,80.64516129
02_15__podium_speech_happy__N864L40U.mp4,1,12,19,31,0,0,38.70967742,61.29032258
02_15__secret_conversation__MZWH8ATN.mp4,1,0,31,31,0,0,0,100
02_15__secret_conversation__N864L40U.mp4,1,0,31,31,0,0,0,100
02_15__talking_against_wall__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__talking_against_wall__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
02_15__talking_against_wall__MZWH8ATN.mp4,1,0,31,31,0,0,0,100
02_15__talking_against_wall__P2FAY3DR.mp4,1,0,31,31,0,0,0,100
02_15__talking_against_wall__QYSDT9SO.mp4,1,0,31,31,0,0,0,100
02_15__talking_angry_couch__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__talking_angry_couch__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
02_15__walking_and_outside_surprised__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__walking_and_outside_surprised__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
02_15__walking_and_outside_surprised__MZWH8ATN.mp4,1,0,31,31,0,0,0,100
02_15__walking_down_indoor_hall_disgust__HTG660F8.mp4,1,0,31,31,0,0,0,100
02_15__walking_down_street_outside_angry__I8G2LWD1.mp4,1,0,31,31,0,0,0,100
